id,uid,track_id,content
38568,1048655,210371,鹦哥的声音怎么听不清楚？
39334,1145546,210371,配乐都好听〜期待浮生尽完结呀〜
40107,1016746,210371,回复@myrrh破了 :因为CV麦的问题哈，文案里有说明……现在无法修正该问题，为你带来的不便敬请谅解~
40291,1111193,210371,戳中泪点
40292,1111193,210371,没了？？？？还得等啊，，，，，，[泪]
42953,1202493,136006,啊
43796,1016746,210371,回复@小情书与白月光 :第四期已上传哦~
47337,1056607,194168,好吃
61530,1260662,210371,莺歌的声音听不清楚
64741,1374051,210371,大大们真的太棒了！
65538,1018017,63972,放心
72661,1426759,210371,作为一个看过原著很多遍的妹纸，每每听到这里都还是想哭
72682,1425503,210371,nice
83731,1155287,320676,感觉不错。
84572,1159170,320676,很有旧时的味道。
85397,1428033,210371,哎呀这段阿拂激萌！！！！
9229,1012382,91975,有被萌到诶·~
9343,1000753,91975,回复@小懒杨申:好久没玩了都~以前安妮可是老拿手了（咳咳 相对于别的英雄来说）
9344,1000753,91975,回复@Sandy双双:哈哈哈 估计被吓到了吧 -0-我可是个猛妹纸[哈哈]
9388,1007098,91975,是你配音的把~~原版那
9899,1012414,91975,"#LOL 安妮配音~（自己录着玩~O(∩_∩)O）# 是好久了...呵呵"
57890,1324319,91975,那个，你看见了我的小胸吗？很好玩的哟！
63043,1365524,217322,"#拥抱的时候 不够靠近# 我也曾经，像你一般天真，应该蛮好看的。"
72615,1429555,91975,你在哪个区啊？00
82308,1512412,321033,这个比较好听
82384,1493393,321033,回复@细雨微湿 :呵呵，感谢您的支持。
86841,1051203,336581,嘻嘻..过来赞以下[太开心][太开心][太开心]
88091,1126552,11436,好
91389,1574094,346859,不错
91391,1574094,346859,[可爱]
91414,1574212,346859,声音很甜哦，不错
104412,1599663,382671,今天来看了几次终于更新了
104559,1587644,382671,回复@美美S521: 小孩子别乱说话
104579,1592431,382671,"终于听到这段了，叶老师的配音画面感太强了！@叶清voasia "
104586,1020468,382671,总算听到这段了，TVB专业配音就是强。
104617,1104045,382671,"回复@李满超: "
4081,1002129,49416,喜欢这个歌。
4083,1014034,49416,回复@EraserYun :那个歌？
4087,1002129,49416,回复@玄念桃: 就那个梁静茹的，好像是叫夜夜夜夜？我貌似啥时候听过。
4092,1014034,49416,回复@EraserYun :很爱的一首歌曲
9010,1000752,88431,哈哈  好玩
9022,1021862,88431,回复@采姑娘的小蘑菇:嘿嘿嘿~~~他们都说 那个哼~特别的傲娇。。。
9765,1026596,49416,[给力]
9766,1014034,49416,回复@晚上的世界: ？
9767,1026596,49416,回复@玄念桃:内容不错。[挖鼻屎]
9768,1014034,49416,回复@晚上的世界: 谢谢
13631,1012308,156543,不是我的我才不稀罕了哈哈哈
13687,1017142,156543,回复@小黄玫瑰 :[偷笑]
13900,1012308,156543,回复@若潇潇 :[围观][可爱][兔子]
16593,1050407,49416,问  我最喜欢的歌之一
16594,1000001,174997,讲笑话的语气，让我笑了[哈哈][哈哈]
16638,1014034,49416,回复@亦_那么: 我也超级喜欢。特别适合晚上听
29962,1057231,198906,[可爱]
29975,1057231,198906,或者是QQ 噗▔▽▔
30540,1000303,199382,感觉你的嗓子一开口就能抓住人  看好你哟~~坐等更多作品！！
30542,1101057,199382,回复@翻唱也给力: 谢谢！我会继续加油的，多谢支持哇，嘻嘻
4520,1000005,47108,还行·！！！！！
10579,1032171,109605,"我不知道你是不是那个歌手潇潇，但是我希望你是的，如果你是，希望你加我qq，找你帮忙 "
10639,1017142,109605,回复@930306335 :唔，很抱歉，我不是~~~所有帮不到你了哦~~
12252,1038024,47108,外国翻唱里最喜欢他的声音
16910,1052269,47108,喜欢静静的感觉！
17918,1055530,47108,jason唱的   完全不同的感觉  好喜欢
25115,1070785,38301,[嘻嘻]
25116,1070785,38301,[思考]
41545,1209192,47108,算是温馨的了
42159,1175246,206958,"好啊，人性化!
"
43430,1077785,218491,磁性大叔音赛高！！！第一个声音像相爷第二个像多多，以至于有种在听「纨绔」的感觉(￣▽￣)
43781,1229163,218491,[嘻嘻]玄叔声音好有带感！古风大美！
43890,1160825,218491,"粉喜欢

"
44628,1236711,8458,好玩儿
51240,1170008,8458,极品
53500,1267961,232144,广告太多。。。。。。。。。。。。。。。。。
56418,1259081,248462,"有劲阿,  二手玫瑰的风格?"
57729,1014474,251343,感觉怪怪的。。。
58105,1334853,50623,"@喵嘞个咪的 "
58224,1305785,251343,回复@芷新: 必须的. ..
14450,1025802,100220,很喜欢。
14558,1000202,100220,回复@游离 :感谢支持~
24641,1000752,184276,你重不知道 我想做的不止是朋友[爱你]
24642,1000752,184276,[爱你]
24685,1056283,184276,看到了我的豆瓣头像 好亲切
32091,1123617,201382,好恐怖
33243,1143098,100220,"不逗呀
"
33272,1134013,100220,挺逗的
33585,1116939,201382,
34152,1140955,201382,背景音乐好搞笑啊！
34329,1115647,201382,听
34352,1154322,100220,"太乱了
"
34436,1154662,201382,NND，缩在被窝里，都不敢上厕所了。肿么办啊！
34484,1109187,100220,怎么不清晰呢感觉？
34541,1155457,201382," 不好听"
34547,1116868,204234,很怀念以前的时光'希望能做一期关于＜还珠格格＞的节目。
34592,1000202,100220,回复@小宇_Dd :尽量分享最清晰的资源了呢~！
34642,1012339,201382,[哈哈]
34643,1012339,201382,回复@赵王爷:[偷笑]
34644,1012339,201382,回复@赵王爷:王爷你 胆子太小了[偷笑]
1019,1002126,23601,好亲切
1213,1012382,23601,拍手~！这是在求骚扰嘛？？
1513,1012566,23601,"#和大家打个招呼~哈# 同样也谢谢您。听你得声音真的也蛮不错的。让我们一起加油"
1527,1012297,23601,回复@OS98情感调频 :[抱抱]
1696,1012566,23601,回复@Silvia :嘻嘻
2801,1013381,23601,美女好，可以私信留QQ ，哈哈~~
3005,1000004,23601,加油哦，[给力]
4019,1012297,23601,回复@ldd600:[可爱]谢啦！
4020,1012297,23601,回复@Sandy双双:[害羞]喜欢被你骚扰~
5719,1012307,23601,声音挺好听。
5726,1012297,23601,回复@XXX然然 :[挤眼]Thank you~!
6797,1012412,23601,加油 加油
6839,1012297,23601,回复@悠然广播 :谢谢！[可爱]
11084,1023016,23601,美女。。 你好
11738,1023016,23601,客服姐姐你是1008号客服吗[嘻嘻]
11752,1012297,23601,回复@小军听书网 :[可爱]客服都是一样的哦~
12934,1039777,151377,很遗憾自己总是没能听直播
13312,1012308,151377,虫虫又来啦前面的那首歌曲是谁唱的啊
15517,1026043,151377,喜欢介个图
15542,1000005,170220,必需支持一下～！！
304,1000039,328,[呵呵]挺好的
4411,1012382,51143,你究竟是谁！！！！！！！！
4414,1000017,51143,我就是来捧场的[可爱]
4427,1000005,51143,他是神秘路人甲
4437,1002126,51143,回复@Sandy双双: 同问…她太high啦…哈哈
4438,1012382,51143,回复@怪蜀黍岳 :你们接完客回来了啊。。。
4439,1012242,51143,回复@怪蜀黍岳: 哈哈哈贼笑下
4440,1012242,51143,"回复@干田: 哈哈哈是么
"
4441,1012242,51143,回复@jeffrey: 谢啦
4442,1012242,51143,回复@jeffrey: 谢啦
4443,1012242,51143,回复@Sandy双双: 马上恢复正常
4445,1000005,51143,回复@NJ如念:  是的。一个很有爱的人。
4446,1012242,51143,回复@干田 :难道你喜欢上他了哈哈哈哈
4448,1000005,51143,回复@NJ如念: no~~no~~no~~我只喜欢一个叫干姜水的女娃
4449,1002126,51143,回复@Sandy双双: 这…这…有内鬼。。
4450,1012242,51143,回复@干田 :@怪蜀黍岳 快来看啊。哈哈哈
4452,1000005,51143,回复@NJ如念: 你哈得那么荡气回肠干嘛 各种怕怕 各种怕怕
4456,1012242,51143,回复@干田: 怕啥？我又不会吃了你！
4461,1000005,51143,回复@NJ如念: 感脚会吃了她......
4560,1012242,51143,回复@小懒杨申 :你来个？哈哈哈 想听听
12420,1039385,62530,"不错（¥」¥）
            @"
28297,1070985,4229,户籍警
32732,1136824,199732,好听
43753,1199991,217356,嘿嘿！貌似都长大了！
44319,1054395,220320,回复@小懒杨申: 是啊
44406,1054395,220320,回复@小懒杨申 :是的呢 请指教
62125,1346943,264224,好虐哦，心好痛::>_<::
62127,1273679,264224,回复@默契微笑: 嗯啊＞＜摸摸〜刀子与豆腐是治愈的你听听去
62138,1346943,264224,回复@有声小说广播剧:听了，可是听错顺序了，把虐的放在后面听了，啊，哭死我了……
62173,1273679,264224,回复@默契微笑: 额。。。抱住揉
62909,1364117,264224,戳泪点啊
62980,1273679,264224,回复@Anne小叶子: ＞＜
66654,1182073,264224,千年之后。还逃不脱银王婚书的命运。。。
67421,1173922,264224,被虐到了T^T片段的穿插很好，配乐很赞，很有画面感啊！就是听得我心里难受T^T
67423,1273679,264224,"回复@炮灰配角控: 抱抱＞＜
"
71888,1333918,264224,很压抑，听完整个人都不舒服，诶
71890,1273679,264224,回复@合格发酒疯: 听其他搞笑的开心下＞＜
74078,1426469,48778,"
好"
76052,1399156,50329,要是把后面的杂音给消掉就好了！这软件真不错！
76208,1377291,264224,虐死我了。
8965,1002126,87597,跟踪过她.....尾行么
8976,1017560,87597,暗恋！是那么美好回忆
9960,1028788,94280,喜欢哥哥所有的歌！
10014,1028788,94280,回复@生于80年代: 大爱
11271,1021725,87597,你好，里面的插曲你都放了那些歌？
30319,1108807,87597,真的是
32659,1132947,87597,里面都有什么歌啊，求
32974,1127743,87597,背景音乐是啥
36465,1135873,94280,很好听
36753,1143285,94280,真的好好听哦
37806,1015957,209124,送你.....想加什么内容呢？我想只会是....
37811,1016561,209124,也送你一个好早晨
37885,1019747,209124,"简单生活广播,简单的生活你也值得拥有"
37886,1019747,209124,我也曾希望有川叔这样一哥哥
37927,1019747,209124,"#46 送你# 送你.送你 一个最好的祝福.礼物礼物礼物.就在不远的明天..对要先传照片."
38256,1075091,209124,感动
38258,1075091,209124,突然觉得川叔好了不起，当天空不再蓝你为我们描绘出一片蓝；当湖水不再绿，你为我们描绘出一片绿。你用你的内心妆点我们的世界...
38368,1016033,209124,回复@冷暖: 为啥我会忽然很想接唱。当山峰没有棱角的时候。。。
38388,1075091,209124,"回复@小川叔: 好呀 唱出来
"
40998,1054565,209124,祝君好
1700,1012253,28081,"#希腊神话01维纳斯的诞生# 特别喜欢古希腊的神话"
11018,1030616,125550,我邪恶了。喜欢太阳。    .
11029,1012382,125550,喜欢蜜茶妹纸的声音啊！！！
11030,1012392,125550,回复@Sandy双双 :有味道吧。哇哈哈。。。
11116,1012243,125550,dd
17370,1049857,179090,能吐槽...两只都是雄的？
17376,1039744,179090,回复@似水流年本无情 :[挖鼻屎]闹什么闹
17398,1041245,179090,哼哼。不告诉你很感人！！！
17411,1039744,179090,回复@眉間一點朱砂:送你的
17418,1054549,179090,"#狼和兔子# 签到，有木有"
24783,1054297,179090,醞釀眼淚，儲藏微笑。
24903,1039744,179090,回复@MissNin_ning :[可爱]
25229,1049867,179090,"我也可以像兔子一样。 "
25230,1049867,179090,什么时候也专门给我录一个啊。给少白不给我。 吃醋了
25772,1039744,179090,回复@疯疯疯疯不完 :你好，兔子
25810,1049867,179090,"回复@能文能武能打虎: 你才是兔儿爷
"
25813,1049867,179090,回复@能文能武能打虎: 我也要专门的
26867,1002084,177256,你的声音真不错，适合主播 加油
27454,1082954,179557,听不清楚，卡了
27455,1082954,179557,听不清楚，卡了
640,1012333,7946,"#第一讲：执行力——如何完成任务的学问# 很不错哦。学习学习"
1964,1000041,32683,好冷。。
1971,1002126,32683,回复@derek :不冷不足以平民愤[哈哈]
2019,1007098,32683,冷笑话是怎么坚持那么久 那么冷的[哈哈]
2020,1002126,32683,"回复@小安 :看到了,就用手机录出来.很方便.哈哈"
2030,1012675,32683,"有点冷，但最后我还是知趣的笑了#成亲 2012-11-15 22:26# "
2031,1002126,32683,回复@我期待的生活 :听过了吧?
2032,1012675,32683,回复@左轻侯 :听过了，你的声音很适合讲冷嗖嗖的话，笑不笑我就做不了主啦，啊哈哈
2034,1002126,32683,回复@我期待的生活 :嗯嗯.我觉得我能讲得更好.待我多练练.嘿嘿
2035,1012675,32683,回复@左轻侯 :我一个同事特爱讲笑话，还去学过曲艺，最近失联了，我得想法子把他揪上来。
2036,1002126,32683,回复@我期待的生活 :用手机录这种小段子挺方便的.
